username,repo_name,stars,repo_url
practical-tutorials,project-based-learning,218000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,179000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,61900,https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,55000,https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,54000,https://github.com/youngyangyang04/leetcode-master
WerWolv,ImHex,47100,https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,40200,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,39100,https://github.com/ClickHouse/ClickHouse
huihut,interview,35400,https://github.com/huihut/interview
doocs,leetcode,33000,https://github.com/doocs/leetcode
carbon-language,carbon-lang,32600,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,31900,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,31300,https://github.com/TheAlgorithms/C-Plus-Plus
aseprite,aseprite,30800,https://github.com/aseprite/aseprite
microsoft,calculator,30100,https://github.com/microsoft/calculator
dragonflydb,dragonfly,27100,https://github.com/dragonflydb/dragonfly
gabime,spdlog,25300,https://github.com/gabime/spdlog
changkun,modern-cpp-tutorial,24500,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,24000,https://github.com/microsoft/vcpkg
ethereum,solidity,23900,https://github.com/ethereum/solidity
